Region,RowLabel,ColLabel,Value
"SEAsia","LightMnfc-c","ProcFood-a",7.7077670E+3
"SEAsia","LightMnfc-c","TextWapp-a",3.8044914E+3
"SEAsia","LightMnfc-c","LightMnfc-a",1.0993262E+5
"SEAsia","LightMnfc-c","HeavyMnfc-a",3.2591285E+4
"SEAsia","LightMnfc-c","Util_Cons-a",8.1041410E+4
"SEAsia","LightMnfc-c","TransComm-a",4.2886382E+4
"SEAsia","LightMnfc-c","OthServices-a",2.7469316E+4
"SEAsia","LightMnfc-c","hhd",9.2503930E+4
"SEAsia","LightMnfc-c","gov",1.6893868E+3
"SEAsia","LightMnfc-c","inv",9.1032701E+4
"SEAsia","HeavyMnfc-c","Agriculture-a",2.0824621E+4
"SEAsia","HeavyMnfc-c","Extraction-a",1.4671164E+4
"SEAsia","HeavyMnfc-c","ProcFood-a",1.1969999E+4
"SEAsia","HeavyMnfc-c","TextWapp-a",1.1975500E+4
"SEAsia","HeavyMnfc-c","LightMnfc-a",1.3165954E+5
"SEAsia","HeavyMnfc-c","HeavyMnfc-a",5.5768261E+5
"SEAsia","HeavyMnfc-c","Util_Cons-a",1.2044095E+5
"SEAsia","HeavyMnfc-c","TransComm-a",1.3668272E+5
"SEAsia","HeavyMnfc-c","OthServices-a",4.9553344E+4
"SEAsia","HeavyMnfc-c","hhd",1.4744776E+5
"SEAsia","HeavyMnfc-c","gov",2.5524978E+3
"SEAsia","HeavyMnfc-c","inv",1.5886658E+5
"SEAsia","Util_Cons-c","Agriculture-a",2.1327509E+3
"SEAsia","Util_Cons-c","Extraction-a",3.4325460E+3
"SEAsia","Util_Cons-c","ProcFood-a",3.8317360E+3
"SEAsia","Util_Cons-c","TextWapp-a",2.3096673E+3
"SEAsia","Util_Cons-c","LightMnfc-a",8.2656952E+3
